Automotive Repair,"Automotive Service Technicians and Mechanics","234,810","Cleaners of Vehicles and Equipment","149,150","Automotive Body and Related Repairers","102,450","General and Operations Managers","53,930","First-Line Supervisors of Mechanics, Installers, and Repairers","44,200","Office Clerks, General","34,110","Automotive and Watercraft Service Attendants","32,980","Bus and Truck Mechanics and Diesel Engine Specialists","26,600","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","25,750","First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","20,630",
Restaurants and,"Fast Food and Counter Workers","2,753,460","Waiters and Waitresses","1,757,590","Cooks, Restaurant","1,114,450","First-Line Supervisors of Food Preparation and Serving Workers","910,710","Cooks, Fast Food","703,000","Food Preparation Workers","493,690","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","352,390","Cashiers","329,720","Dishwashers","327,530","Dining Room and Cafeteria Attendants and Bartender Helpers","288,170",
Drinking Places,"Bartenders","168,970","Waiters and Waitresses","53,050","Cooks, Restaurant","38,930","First-Line Supervisors of Food Preparation and Serving Workers","24,830","Security Guards","15,460","Dining Room and Cafeteria Attendants and Bartender Helpers","14,430","General and Operations Managers","11,100","Cooks, Short Order","10,510","Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","7,860","Dishwashers","6,050",
Special Food,"Fast Food and Counter Workers","129,360","Cooks, Institution and Cafeteria","59,460","Waiters and Waitresses","48,380","Food Preparation Workers","47,400","First-Line Supervisors of Food Preparation and Serving Workers","38,730","Food Servers, Nonrestaurant","25,190","Cashiers","23,970","Dishwashers","22,930","Cooks, Restaurant","22,100","Chefs and Head Cooks","18,690",
Rooming and,"Maids and Housekeeping Cleaners","1,930","Residential Advisors","1,400","Hotel, Motel, and Resort Desk Clerks","770","Maintenance and Repair Workers, General","670","General and Operations Managers","480","Cooks, Institution and Cafeteria","460","Cooks, All Other","420","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","390","Dining Room and Cafeteria Attendants and Bartender Helpers","330","Lodging Managers","280",
RV (Recreational,"Maintenance and Repair Workers, General","10,050","Recreation Workers","4,290","Landscaping and Groundskeeping Workers","4,190","Hotel, Motel, and Resort Desk Clerks","3,910","General and Operations Managers","3,790","Office Clerks, General","3,250","Maids and Housekeeping Cleaners","3,230","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1,800","Lodging Managers","1,570","First-Line Supervisors of Office and Administrative Support Workers","1,220",
Traveler Accommodation,"Maids and Housekeeping Cleaners","364,990","Hotel, Motel, and Resort Desk Clerks","223,840","Waiters and Waitresses","107,530","Maintenance and Repair Workers, General","86,730","Cooks, Restaurant","62,060","Dining Room and Cafeteria Attendants and Bartender Helpers","43,140","Gambling Dealers","39,600","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","38,190","Bartenders","36,700","First-Line Supervisors of Housekeeping and Janitorial Workers","36,350",
Other Amusement,"Exercise Trainers and Group Fitness Instructors","169,170","Amusement and Recreation Attendants","159,460","Landscaping and Groundskeeping Workers","86,970","Waiters and Waitresses","62,610","Receptionists and Information Clerks","49,970","General and Operations Managers","44,350","Coaches and Scouts","39,100","Customer Service Representatives","31,440","Cooks, Restaurant","29,330","Maintenance and Repair Workers, General","29,180",
Gambling Industries,"Gambling Dealers","27,590","Security Guards","13,530","Gambling Change Persons and Booth Cashiers","10,760","First-Line Supervisors of Entertainment and Recreation Workers","9,490","First-Line Supervisors of Gambling Services Workers","9,160","Waiters and Waitresses","7,860","Cashiers","7,530","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","7,070","Bartenders","7,050","Gambling Cage Workers","7,050",
Amusement Parks,"Amusement and Recreation Attendants","63,020","Cashiers","12,940","Fast Food and Counter Workers","7,850","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","7,310","Retail Salespersons","6,770","Waiters and Waitresses","6,200","Actors","6,110","First-Line Supervisors of Entertainment and Recreation Workers","6,060","First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services","6,040","Recreation Workers","5,160",
